[walk] <bedroom> (06:42 - 06:42) (bedroom) (other, master_bedroom_activity, wake, other, other)
[standup] (06:42 - 06:42) (bedroom) (other, master_bedroom_activity, wake, other, other)
[lookat] <bed> (06:42 - 06:42) (bedroom) (other, master_bedroom_activity, wake, other, other)
[grab] <pillow> (06:42 - 06:43) (bedroom) (other, master_bedroom_activity, wake, other, other)
[put] <pillow> <bed> (06:43 - 06:43) (bedroom) (other, master_bedroom_activity, wake, other, other)
[walk] <window> (06:43 - 06:43) (bedroom) (other, master_bedroom_activity, wake, other, other)
[open] <curtains> (06:43 - 06:44) (bedroom) (other, master_bedroom_activity, wake, other, other)
[turnright] (06:44 - 06:44) (bedroom) (other, master_bedroom_activity, wake, other, other)
[walk] <doorjamb> (06:44 - 06:45) (bedroom) (other, master_bedroom_activity, wake, other, other)
[switchon] <ceilinglamp> (06:45 - 06:45) (bedroom) (other, master_bedroom_activity, wake, other, other)

[walk] <bathroom> (06:45 - 06:45) (bathroom) (bed_to_toilet, master_bathroom, other, personal_hygiene, bathroom|using_the_sink)
[walk] <bathroom> (06:45 - 06:45) (bathroom) (bed_to_toilet, master_bathroom, other, personal_hygiene, bathroom|using_the_sink)
[switchon] <lightswitch> (06:45 - 06:45) (bathroom) (bed_to_toilet, master_bathroom, other, personal_hygiene, bathroom|using_the_sink)
[walk] <bathroomcounter> (06:45 - 06:46) (bathroom) (bed_to_toilet, master_bathroom, other, personal_hygiene, bathroom|using_the_sink)
[grab] <toothbrush> (06:46 - 06:46) (bathroom) (bed_to_toilet, master_bathroom, other, personal_hygiene, bathroom|using_the_sink)
[lookat] <toothpaste> (06:46 - 06:47) (bathroom) (bed_to_toilet, master_bathroom, other, personal_hygiene, bathroom|using_the_sink)
[grab] <toothpaste> (06:47 - 06:47) (bathroom) (bed_to_toilet, master_bathroom, other, personal_hygiene, bathroom|using_the_sink)
[put] <toothpaste> <toothbrush> (06:47 - 06:48) (bathroom) (bed_to_toilet, master_bathroom, other, personal_hygiene, bathroom|using_the_sink)
[drink] <waterglass> (06:48 - 06:50) (bathroom) (bed_to_toilet, master_bathroom, other, personal_hygiene, bathroom|using_the_sink)
[put] <waterglass> <bathroomcounter> (06:50 - 06:50) (bathroom) (bed_to_toilet, master_bathroom, other, personal_hygiene, bathroom|using_the_sink)
[switchoff] <lightswitch> (06:51 - 06:51) (bathroom) (bed_to_toilet, master_bathroom, other, personal_hygiene, bathroom|using_the_sink)

[walk] <bedroom> (06:51 - 06:51) (bedroom) (relax, meditate, other, other, other)
[walk] <bedroom> (06:51 - 06:51) (bedroom) (relax, meditate, other, other, other)
[switchon] <ceilinglamp> (06:51 - 06:51) (bedroom) (relax, meditate, other, other, other)
[walk] <rug> (06:51 - 06:52) (bedroom) (relax, meditate, other, other, other)
[sit] <pillow> (06:52 - 06:53) (bedroom) (relax, meditate, other, other, other)
[lookat] <window> (06:53 - 06:53) (bedroom) (relax, meditate, other, other, other)
[standup] (06:53 - 06:53) (bedroom) (relax, meditate, other, other, other)
[walk] <rug> (06:53 - 06:54) (bedroom) (relax, meditate, other, other, other)
[grab] <book> (06:54 - 06:55) (bedroom) (relax, meditate, other, other, other)
[put] <> <rug> (06:55 - 06:56) (bedroom) (relax, meditate, other, other, other)
[sit] <rug> (06:56 - 06:57) (bedroom) (relax, meditate, other, other, other)
[standup] (06:57 - 06:57) (bedroom) (relax, meditate, other, other, other)
[walk] <rug> (06:57 - 06:58) (bedroom) (relax, meditate, other, other, other)
[turnleft] (06:58 - 06:58) (bedroom) (relax, meditate, other, other, other)
[lookat] <ceilinglamp> (06:58 - 07:00) (bedroom) (relax, meditate, other, other, other)
[walkforward] (07:00 - 07:01) (bedroom) (relax, meditate, other, other, other)
[sit] <> (07:01 - 07:01) (bedroom) (relax, meditate, other, other, other)
