[walk] <bedroom> (07:12 - 07:12) (bedroom) (other, master_bedroom_activity, wake, other, other)
[standup] (7:12 - 7:12) (bedroom) (other, master_bedroom_activity, wake, other, other)
[walk] <bed> (7:12 - 7:12) (bedroom) (other, master_bedroom_activity, wake, other, other)
[grab] <pillow> (7:12 - 7:13) (bedroom) (other, master_bedroom_activity, wake, other, other)
[put] <pillow> <bed> (7:13 - 7:13) (bedroom) (other, master_bedroom_activity, wake, other, other)
[walk] <window> (7:13 - 7:13) (bedroom) (other, master_bedroom_activity, wake, other, other)
[open] <curtains> (7:13 - 7:14) (bedroom) (other, master_bedroom_activity, wake, other, other)
[lookat] <photoframe> (7:14 - 7:14) (bedroom) (other, master_bedroom_activity, wake, other, other)
[walk] <doorjamb> (7:14 - 7:14) (bedroom) (other, master_bedroom_activity, wake, other, other)
[put] <slippers> <nightstand> (7:14 - 7:14) (bedroom) (other, master_bedroom_activity, wake, other, other)
[grab] <cellphone> (7:14 - 7:15) (bedroom) (other, master_bedroom_activity, wake, other, other)
[touch] <ceilinglamp> (7:15 - 7:15) (bedroom) (other, master_bedroom_activity, wake, other, other)
[switchon] <ceilinglamp> (7:15 - 7:15) (bedroom) (other, master_bedroom_activity, wake, other, other)

[walk] <bathroom> (07:15 - 07:15) (bathroom) (other, master_bathroom, other, personal_hygiene, bathroom|using_the_sink)
[walk] <bathroom> (07:15 - 07:15) (bathroom) (other, master_bathroom, other, personal_hygiene, bathroom|using_the_sink)
[switchon] <lightswitch> (07:15 - 07:15) (bathroom) (other, master_bathroom, other, personal_hygiene, bathroom|using_the_sink)
[walk] <bathroomcounter> (07:15 - 07:16) (bathroom) (other, master_bathroom, other, personal_hygiene, bathroom|using_the_sink)
[grab] <toothbrush> (07:16 - 07:16) (bathroom) (other, master_bathroom, other, personal_hygiene, bathroom|using_the_sink)
[lookat] <toothpaste> (07:16 - 07:17) (bathroom) (other, master_bathroom, other, personal_hygiene, bathroom|using_the_sink)
[grab] <toothpaste> (07:17 - 07:17) (bathroom) (other, master_bathroom, other, personal_hygiene, bathroom|using_the_sink)
[put] <toothpaste> <toothbrush> (07:17 - 07:18) (bathroom) (other, master_bathroom, other, personal_hygiene, bathroom|using_the_sink)
[drink] <waterglass> (07:18 - 07:20) (bathroom) (other, master_bathroom, other, personal_hygiene, bathroom|using_the_sink)
[put] <waterglass> <bathroomcounter> (07:20 - 07:20) (bathroom) (other, master_bathroom, other, personal_hygiene, bathroom|using_the_sink)
[switchoff] <lightswitch> (07:21 - 07:21) (bathroom) (other, master_bathroom, other, personal_hygiene, bathroom|using_the_sink)

[walk] <bedroom> (07:21 - 07:21) (bedroom) (other, meditate, other, other, bedroom|reading)
[walk] <bedroom> (7:21 - 7:21) (bedroom) (other, meditate, other, other, bedroom|reading)
[switchon] <ceilinglamp> (7:21 - 7:21) (bedroom) (other, meditate, other, other, bedroom|reading)
[grab] <rug> (7:21 - 7:22) (bedroom) (other, meditate, other, other, bedroom|reading)
[put] <> <rug> (7:22 - 7:23) (bedroom) (other, meditate, other, other, bedroom|reading)
[sit] <rug> (7:23 - 7:26) (bedroom) (other, meditate, other, other, bedroom|reading)
[standup] (7:26 - 7:26) (bedroom) (other, meditate, other, other, bedroom|reading)
[walkforward] (7:26 - 7:27) (bedroom) (other, meditate, other, other, bedroom|reading)
[touch] <ceilinglamp> (7:27 - 7:27) (bedroom) (other, meditate, other, other, bedroom|reading)
[switchoff] <ceilinglamp> (7:27 - 7:27) (bedroom) (other, meditate, other, other, bedroom|reading)
[grab] <book> (7:27 - 7:28) (bedroom) (other, meditate, other, other, bedroom|reading)
[lookat] <book> (7:28 - 7:29) (bedroom) (other, meditate, other, other, bedroom|reading)
[sit] <rug> (7:29 - 7:35) (bedroom) (other, meditate, other, other, bedroom|reading)
[standup] (7:35 - 7:35) (bedroom) (other, meditate, other, other, bedroom|reading)
[grab] <mug> (7:35 - 7:36) (bedroom) (other, meditate, other, other, bedroom|reading)
[drink] <mug> (7:36 - 7:40) (bedroom) (other, meditate, other, other, bedroom|reading)
[put] <mug> <coffeetable> (7:40 - 7:41) (bedroom) (other, meditate, other, other, bedroom|reading)
[walk] <closet> (7:41 - 7:42) (bedroom) (other, meditate, other, other, bedroom|reading)
[open] <closet> (7:42 - 7:42) (bedroom) (other, meditate, other, other, bedroom|reading)
[grab] <clothesshirt> (7:42 - 7:43) (bedroom) (other, meditate, other, other, bedroom|reading)
[put] <clothesshirt> <chair> (7:43 - 7:44) (bedroom) (other, meditate, other, other, bedroom|reading)
[lookat] <window> (7:44 - 7:46) (bedroom) (other, meditate, other, other, bedroom|reading)
[standup] (7:46 - 7:46) (bedroom) (other, meditate, other, other, bedroom|reading)
[walk] <doorjamb> (7:46 - 7:48) (bedroom) (other, meditate, other, other, bedroom|reading)
[turnright] (7:48 - 7:50) (bedroom) (other, meditate, other, other, bedroom|reading)
[open] <doorjamb> (7:50 - 7:50) (bedroom) (other, meditate, other, other, bedroom|reading)

[walk] <bathroom> (07:50 - 07:50) (bathroom) (other, master_bathroom, other, personal_hygiene, bathroom|showering)
[walk] <bathroom> (07:50 - 07:50) (bathroom) (other, master_bathroom, other, personal_hygiene, bathroom|showering)
[switchon] <lightswitch> (07:50 - 07:50) (bathroom) (other, master_bathroom, other, personal_hygiene, bathroom|showering)
[walk] <stall> (07:50 - 07:51) (bathroom) (other, master_bathroom, other, personal_hygiene, bathroom|showering)
[open] <stall> (07:51 - 07:51) (bathroom) (other, master_bathroom, other, personal_hygiene, bathroom|showering)
[standup] (07:52 - 07:52) (bathroom) (other, master_bathroom, other, personal_hygiene, bathroom|showering)
[grab] <barsoap> (07:52 - 07:52) (bathroom) (other, master_bathroom, other, personal_hygiene, bathroom|showering)
[put] <barsoap> <bathroomcounter> (07:52 - 07:53) (bathroom) (other, master_bathroom, other, personal_hygiene, bathroom|showering)
[walk] <faucet> (07:53 - 07:54) (bathroom) (other, master_bathroom, other, personal_hygiene, bathroom|showering)
[turnright] (07:54 - 07:54) (bathroom) (other, master_bathroom, other, personal_hygiene, bathroom|showering)
[drink] <waterglass> (07:54 - 07:56) (bathroom) (other, master_bathroom, other, personal_hygiene, bathroom|showering)
[put] <waterglass> <bathroomcounter> (07:56 - 07:56) (bathroom) (other, master_bathroom, other, personal_hygiene, bathroom|showering)
[grab] <towel> (07:56 - 07:57) (bathroom) (other, master_bathroom, other, personal_hygiene, bathroom|showering)
[put] <towel> <towelrack> (07:57 - 07:57) (bathroom) (other, master_bathroom, other, personal_hygiene, bathroom|showering)
[grab] <hairproduct> (07:57 - 07:58) (bathroom) (other, master_bathroom, other, personal_hygiene, bathroom|showering)
[put] <hairproduct> <bathroomcounter> (07:58 - 07:58) (bathroom) (other, master_bathroom, other, personal_hygiene, bathroom|showering)
[grab] <facecream> (07:58 - 07:59) (bathroom) (other, master_bathroom, other, personal_hygiene, bathroom|showering)
[put] <facecream> <bathroomcounter> (07:59 - 08:00) (bathroom) (other, master_bathroom, other, personal_hygiene, bathroom|showering)
[grab] <deodorant> (08:02 - 08:03) (bathroom) (other, master_bathroom, other, personal_hygiene, bathroom|showering)
[put] <deodorant> <bathroomcounter> (08:03 - 08:03) (bathroom) (other, master_bathroom, other, personal_hygiene, bathroom|showering)
[grab] <perfume> (08:03 - 08:04) (bathroom) (other, master_bathroom, other, personal_hygiene, bathroom|showering)
[put] <perfume> <bathroomcounter> (08:04 - 08:04) (bathroom) (other, master_bathroom, other, personal_hygiene, bathroom|showering)
[walk] <bathroom> (08:04 - 08:05) (bathroom) (other, master_bathroom, other, personal_hygiene, bathroom|showering)
[open] <door> (08:05 - 08:05) (bathroom) (other, master_bathroom, other, personal_hygiene, bathroom|showering)
[walkforward] (08:05 - 08:06) (bathroom) (other, master_bathroom, other, personal_hygiene, bathroom|showering)
[turnleft] (08:06 - 08:06) (bathroom) (other, master_bathroom, other, personal_hygiene, bathroom|showering)
[close] <door> (08:06 - 08:06) (bathroom) (other, master_bathroom, other, personal_hygiene, bathroom|showering)
[sit] <rug> (08:06 - 08:07) (bathroom) (other, master_bathroom, other, personal_hygiene, bathroom|showering)
[standup] (08:07 - 08:07) (bathroom) (other, master_bathroom, other, personal_hygiene, bathroom|showering)
[grab] <towel> (08:07 - 08:08) (bathroom) (other, master_bathroom, other, personal_hygiene, bathroom|showering)
[put] <towel> <towelrack> (08:08 - 08:08) (bathroom) (other, master_bathroom, other, personal_hygiene, bathroom|showering)
[switchoff] <lightswitch> (08:09 - 08:09) (bathroom) (other, master_bathroom, other, personal_hygiene, bathroom|showering)

[walk] <kitchen> (08:10 - 08:10) (kitchen) (meal_preparation, kitchen_activity, breakfast, meal_preparation, kitchen|cooking)
[walk] <kitchen> (08:10 - 08:10) (kitchen) (meal_preparation, kitchen_activity, breakfast, meal_preparation, kitchen|cooking)
[switchon] <coffeemaker> (08:10 - 08:10) (kitchen) (meal_preparation, kitchen_activity, breakfast, meal_preparation, kitchen|cooking)
[grab] <waterglass> (08:10 - 08:11) (kitchen) (meal_preparation, kitchen_activity, breakfast, meal_preparation, kitchen|cooking)
[drink] <waterglass> (08:11 - 08:12) (kitchen) (meal_preparation, kitchen_activity, breakfast, meal_preparation, kitchen|cooking)
[put] <waterglass> <kitchencounter> (08:12 - 08:12) (kitchen) (meal_preparation, kitchen_activity, breakfast, meal_preparation, kitchen|cooking)
[grab] <breadslice> (08:15 - 08:15) (kitchen) (meal_preparation, kitchen_activity, breakfast, meal_preparation, kitchen|cooking)
[grab] <fryingpan> (08:15 - 08:16) (kitchen) (meal_preparation, kitchen_activity, breakfast, meal_preparation, kitchen|cooking)
[switchon] <stove> (08:16 - 08:16) (kitchen) (meal_preparation, kitchen_activity, breakfast, meal_preparation, kitchen|cooking)
[put] <breadslice> <fryingpan> (08:16 - 08:17) (kitchen) (meal_preparation, kitchen_activity, breakfast, meal_preparation, kitchen|cooking)
[lookat] <fryingpan> (08:17 - 08:18) (kitchen) (meal_preparation, kitchen_activity, breakfast, meal_preparation, kitchen|cooking)
[grab] <bananas> (08:21 - 08:21) (kitchen) (meal_preparation, kitchen_activity, breakfast, meal_preparation, kitchen|cooking)
[put] <bananas> <kitchencounter> (08:21 - 08:21) (kitchen) (meal_preparation, kitchen_activity, breakfast, meal_preparation, kitchen|cooking)
[grab] <chocolatesyrup> (08:21 - 08:22) (kitchen) (meal_preparation, kitchen_activity, breakfast, meal_preparation, kitchen|cooking)
[put] <chocolatesyrup> <dishbowl> (08:22 - 08:22) (kitchen) (meal_preparation, kitchen_activity, breakfast, meal_preparation, kitchen|cooking)
[grab] <creamybuns> (08:22 - 08:23) (kitchen) (meal_preparation, kitchen_activity, breakfast, meal_preparation, kitchen|cooking)
[put] <creamybuns> <dishbowl> (08:30 - 08:30) (kitchen) (meal_preparation, kitchen_activity, breakfast, meal_preparation, kitchen|cooking)
[grab] <whippedcream> (08:30 - 08:31) (kitchen) (meal_preparation, kitchen_activity, breakfast, meal_preparation, kitchen|cooking)
[put] <whippedcream> <dishbowl> (08:31 - 08:32) (kitchen) (meal_preparation, kitchen_activity, breakfast, meal_preparation, kitchen|cooking)
[sit] <kitchentable> (08:32 - 08:32) (kitchen) (meal_preparation, kitchen_activity, breakfast, meal_preparation, kitchen|cooking)
[lookat] <dishbowl> (08:38 - 08:38) (kitchen) (meal_preparation, kitchen_activity, breakfast, meal_preparation, kitchen|cooking)

[walk] <kitchen> (08:38 - 08:38) (kitchen) (meal_preparation, kitchen_activity, breakfast, meal_preparation, kitchen|cooking)
[walk] <kitchen> (08:38 - 08:38) (kitchen) (meal_preparation, kitchen_activity, breakfast, meal_preparation, kitchen|cooking)
[switchon] <coffeemaker> (08:38 - 08:38) (kitchen) (meal_preparation, kitchen_activity, breakfast, meal_preparation, kitchen|cooking)
[grab] <waterglass> (08:39 - 08:39) (kitchen) (meal_preparation, kitchen_activity, breakfast, meal_preparation, kitchen|cooking)
[drink] <waterglass> (08:39 - 08:40) (kitchen) (meal_preparation, kitchen_activity, breakfast, meal_preparation, kitchen|cooking)
[open] <fridge> (08:40 - 08:40) (kitchen) (meal_preparation, kitchen_activity, breakfast, meal_preparation, kitchen|cooking)
[grab] <bananas> (08:40 - 08:41) (kitchen) (meal_preparation, kitchen_activity, breakfast, meal_preparation, kitchen|cooking)
[close] <fridge> (08:41 - 08:41) (kitchen) (meal_preparation, kitchen_activity, breakfast, meal_preparation, kitchen|cooking)
[put] <bananas> <kitchencounter> (08:41 - 08:42) (kitchen) (meal_preparation, kitchen_activity, breakfast, meal_preparation, kitchen|cooking)
[grab] <breadslice> (08:42 - 08:42) (kitchen) (meal_preparation, kitchen_activity, breakfast, meal_preparation, kitchen|cooking)
[put] <breadslice> <toaster> (08:42 - 08:43) (kitchen) (meal_preparation, kitchen_activity, breakfast, meal_preparation, kitchen|cooking)
[switchon] <toaster> (08:43 - 08:43) (kitchen) (meal_preparation, kitchen_activity, breakfast, meal_preparation, kitchen|cooking)
[lookat] <toaster> (08:43 - 08:45) (kitchen) (meal_preparation, kitchen_activity, breakfast, meal_preparation, kitchen|cooking)
[grab] <fryingpan> (08:45 - 08:46) (kitchen) (meal_preparation, kitchen_activity, breakfast, meal_preparation, kitchen|cooking)
[put] <fryingpan> <kitchencounter> (08:46 - 08:47) (kitchen) (meal_preparation, kitchen_activity, breakfast, meal_preparation, kitchen|cooking)
[grab] <salmon> (08:47 - 08:48) (kitchen) (meal_preparation, kitchen_activity, breakfast, meal_preparation, kitchen|cooking)
[put] <salmon> <fryingpan> (08:48 - 08:49) (kitchen) (meal_preparation, kitchen_activity, breakfast, meal_preparation, kitchen|cooking)
[switchon] <stove> (08:49 - 08:49) (kitchen) (meal_preparation, kitchen_activity, breakfast, meal_preparation, kitchen|cooking)
[lookat] <fryingpan> (08:49 - 08:51) (kitchen) (meal_preparation, kitchen_activity, breakfast, meal_preparation, kitchen|cooking)
[standup] (08:51 - 08:51) (kitchen) (meal_preparation, kitchen_activity, breakfast, meal_preparation, kitchen|cooking)
[grab] <plate> (08:51 - 08:53) (kitchen) (meal_preparation, kitchen_activity, breakfast, meal_preparation, kitchen|cooking)
[put] <salmon> <plate> (08:53 - 08:54) (kitchen) (meal_preparation, kitchen_activity, breakfast, meal_preparation, kitchen|cooking)
[grab] <waterglass> (08:54 - 08:55) (kitchen) (meal_preparation, kitchen_activity, breakfast, meal_preparation, kitchen|cooking)
[drink] <waterglass> (08:55 - 08:55) (kitchen) (meal_preparation, kitchen_activity, breakfast, meal_preparation, kitchen|cooking)

[walk] <bathroom> (17:00 - 17:00) (bathroom) (bed_to_toilet, master_bathroom, bed_to_toilet, personal_hygiene, toilet|using_the_toilet)
[walk] <bathroom> (17:00 - 17:00) (bathroom) (bed_to_toilet, master_bathroom, bed_to_toilet, personal_hygiene, toilet|using_the_toilet)
[lookat] <toilet> (17:00 - 17:01) (bathroom) (bed_to_toilet, master_bathroom, bed_to_toilet, personal_hygiene, toilet|using_the_toilet)
[sit] <toilet> (17:01 - 17:02) (bathroom) (bed_to_toilet, master_bathroom, bed_to_toilet, personal_hygiene, toilet|using_the_toilet)
[standup] (17:02 - 17:02) (bathroom) (bed_to_toilet, master_bathroom, bed_to_toilet, personal_hygiene, toilet|using_the_toilet)
[walk] <bathroomcounter> (17:02 - 17:03) (bathroom) (bed_to_toilet, master_bathroom, bed_to_toilet, personal_hygiene, toilet|using_the_toilet)
[grab] <towel> (17:03 - 17:04) (bathroom) (bed_to_toilet, master_bathroom, bed_to_toilet, personal_hygiene, toilet|using_the_toilet)
[put] <towel> <towelrack> (17:04 - 17:04) (bathroom) (bed_to_toilet, master_bathroom, bed_to_toilet, personal_hygiene, toilet|using_the_toilet)
[walk] <door> (17:04 - 17:05) (bathroom) (bed_to_toilet, master_bathroom, bed_to_toilet, personal_hygiene, toilet|using_the_toilet)

[walk] <kitchen> (17:05 - 17:05) (kitchen) (meal_preparation, kitchen_activity, dinner, meal_preparation, kitchen|cooking)
[walk] <kitchen> (17:05 - 17:05) (kitchen) (meal_preparation, kitchen_activity, dinner, meal_preparation, kitchen|cooking)
[open] <fridge> (17:05 - 17:05) (kitchen) (meal_preparation, kitchen_activity, dinner, meal_preparation, kitchen|cooking)
[grab] <bellpepper> (17:05 - 17:06) (kitchen) (meal_preparation, kitchen_activity, dinner, meal_preparation, kitchen|cooking)
[grab] <salmon> (17:06 - 17:07) (kitchen) (meal_preparation, kitchen_activity, dinner, meal_preparation, kitchen|cooking)
[close] <fridge> (17:07 - 17:07) (kitchen) (meal_preparation, kitchen_activity, dinner, meal_preparation, kitchen|cooking)
[put] <bellpepper> <kitchencounter> (17:07 - 17:08) (kitchen) (meal_preparation, kitchen_activity, dinner, meal_preparation, kitchen|cooking)
[put] <salmon> <kitchencounter> (17:08 - 17:09) (kitchen) (meal_preparation, kitchen_activity, dinner, meal_preparation, kitchen|cooking)
[lookat] <fryingpan> (17:09 - 17:10) (kitchen) (meal_preparation, kitchen_activity, dinner, meal_preparation, kitchen|cooking)
[grab] <fryingpan> (17:12 - 17:12) (kitchen) (meal_preparation, kitchen_activity, dinner, meal_preparation, kitchen|cooking)
[put] <fryingpan> <stove> (17:12 - 17:13) (kitchen) (meal_preparation, kitchen_activity, dinner, meal_preparation, kitchen|cooking)
[switchon] <stove> (17:13 - 17:13) (kitchen) (meal_preparation, kitchen_activity, dinner, meal_preparation, kitchen|cooking)
[put] <salmon> <fryingpan> (17:13 - 17:14) (kitchen) (meal_preparation, kitchen_activity, dinner, meal_preparation, kitchen|cooking)
[put] <bellpepper> <fryingpan> (17:14 - 17:15) (kitchen) (meal_preparation, kitchen_activity, dinner, meal_preparation, kitchen|cooking)
[touch] <stove> (17:15 - 17:15) (kitchen) (meal_preparation, kitchen_activity, dinner, meal_preparation, kitchen|cooking)
[standup] (17:15 - 17:16) (kitchen) (meal_preparation, kitchen_activity, dinner, meal_preparation, kitchen|cooking)
[lookat] <kitchencounter> (17:16 - 17:20) (kitchen) (meal_preparation, kitchen_activity, dinner, meal_preparation, kitchen|cooking)
[grab] <dishbowl> (17:20 - 17:20) (kitchen) (meal_preparation, kitchen_activity, dinner, meal_preparation, kitchen|cooking)
[put] <dishbowl> <kitchentable> (17:20 - 17:21) (kitchen) (meal_preparation, kitchen_activity, dinner, meal_preparation, kitchen|cooking)
[grab] <condimentshaker> (17:21 - 17:22) (kitchen) (meal_preparation, kitchen_activity, dinner, meal_preparation, kitchen|cooking)
[put] <condimentshaker> <dishbowl> (17:22 - 17:23) (kitchen) (meal_preparation, kitchen_activity, dinner, meal_preparation, kitchen|cooking)
[grab] <cutleryknife> (17:23 - 17:24) (kitchen) (meal_preparation, kitchen_activity, dinner, meal_preparation, kitchen|cooking)
[touch] <dishbowl> (17:24 - 17:24) (kitchen) (meal_preparation, kitchen_activity, dinner, meal_preparation, kitchen|cooking)
[grab] <whippedcream> (17:24 - 17:25) (kitchen) (meal_preparation, kitchen_activity, dinner, meal_preparation, kitchen|cooking)
[put] <whippedcream> <dishbowl> (17:25 - 17:26) (kitchen) (meal_preparation, kitchen_activity, dinner, meal_preparation, kitchen|cooking)
