[walk] <bedroom> (08:17 - 08:17) (bedroom) (other, master_bedroom_activity, wake, other, other)
[switchon] <ceilinglamp> (08:17 - 08:17) (bedroom) (other, master_bedroom_activity, wake, other, other)
[sit] <bed> (08:17 - 08:18) (bedroom) (other, master_bedroom_activity, wake, other, other)
[standup] (08:18 - 08:18) (bedroom) (other, master_bedroom_activity, wake, other, other)
[walk] <window> (08:18 - 08:19) (bedroom) (other, master_bedroom_activity, wake, other, other)
[open] <curtains> (08:19 - 08:19) (bedroom) (other, master_bedroom_activity, wake, other, other)
[walk] <doorjamb> (08:19 - 08:20) (bedroom) (other, master_bedroom_activity, wake, other, other)
[open] <doorjamb> (08:20 - 08:20) (bedroom) (other, master_bedroom_activity, wake, other, other)
[walkforward] (08:20 - 08:20) (bedroom) (other, master_bedroom_activity, wake, other, other)

[walk] <bathroom> (08:20 - 08:20) (bathroom) (other, master_bathroom, other, personal_hygiene, bathroom|using_the_sink)
[walk] <bathroom> (08:20 - 08:20) (bathroom) (other, master_bathroom, other, personal_hygiene, bathroom|using_the_sink)
[switchon] <lightswitch> (08:20 - 08:20) (bathroom) (other, master_bathroom, other, personal_hygiene, bathroom|using_the_sink)
[walk] <bathroomcounter> (08:20 - 08:21) (bathroom) (other, master_bathroom, other, personal_hygiene, bathroom|using_the_sink)
[grab] <toothbrush> (08:21 - 08:21) (bathroom) (other, master_bathroom, other, personal_hygiene, bathroom|using_the_sink)
[lookat] <toothpaste> (08:21 - 08:22) (bathroom) (other, master_bathroom, other, personal_hygiene, bathroom|using_the_sink)
[grab] <toothpaste> (08:22 - 08:22) (bathroom) (other, master_bathroom, other, personal_hygiene, bathroom|using_the_sink)
[put] <toothpaste> <toothbrush> (08:22 - 08:23) (bathroom) (other, master_bathroom, other, personal_hygiene, bathroom|using_the_sink)
[standup] (08:23 - 08:23) (bathroom) (other, master_bathroom, other, personal_hygiene, bathroom|using_the_sink)
[drink] <waterglass> (08:23 - 08:25) (bathroom) (other, master_bathroom, other, personal_hygiene, bathroom|using_the_sink)
[switchoff] <lightswitch> (08:26 - 08:26) (bathroom) (other, master_bathroom, other, personal_hygiene, bathroom|using_the_sink)

[walk] <bedroom> (08:26 - 08:26) (bedroom) (relax, meditate, other, other, other)
[walk] <bedroom> (08:26 - 08:26) (bedroom) (relax, meditate, other, other, other)
