[walk] <bedroom> (08:22 - 08:22) (bedroom) (other, master_bedroom_activity, wake, other, other)
[standup] (08:22 - 08:22) (bedroom) (other, master_bedroom_activity, wake, other, other)
[lookat] <window> (08:22 - 08:23) (bedroom) (other, master_bedroom_activity, wake, other, other)
[walk] <bed> (08:23 - 08:23) (bedroom) (other, master_bedroom_activity, wake, other, other)
[grab] <pillow> (08:23 - 08:24) (bedroom) (other, master_bedroom_activity, wake, other, other)
[put] <pillow> <bed> (08:24 - 08:24) (bedroom) (other, master_bedroom_activity, wake, other, other)
[walk] <nightstand> (08:24 - 08:25) (bedroom) (other, master_bedroom_activity, wake, other, other)
[grab] <cellphone> (08:25 - 08:25) (bedroom) (other, master_bedroom_activity, wake, other, other)
[drink] <mug> (08:25 - 08:26) (bedroom) (other, master_bedroom_activity, wake, other, other)
[put] <mug> <coffeetable> (08:26 - 08:26) (bedroom) (other, master_bedroom_activity, wake, other, other)
[turnright] (08:26 - 08:27) (bedroom) (other, master_bedroom_activity, wake, other, other)

[walk] <bathroom> (08:27 - 08:27) (bathroom) (other, master_bathroom, other, personal_hygiene, bathroom|using_the_sink)
[walk] <bathroom> (08:27 - 08:27) (bathroom) (other, master_bathroom, other, personal_hygiene, bathroom|using_the_sink)
[switchon] <lightswitch> (08:27 - 08:27) (bathroom) (other, master_bathroom, other, personal_hygiene, bathroom|using_the_sink)
[walk] <bathroomcounter> (08:27 - 08:28) (bathroom) (other, master_bathroom, other, personal_hygiene, bathroom|using_the_sink)
[grab] <toothbrush> (08:28 - 08:28) (bathroom) (other, master_bathroom, other, personal_hygiene, bathroom|using_the_sink)
[lookat] <toothpaste> (08:28 - 08:29) (bathroom) (other, master_bathroom, other, personal_hygiene, bathroom|using_the_sink)
[grab] <toothpaste> (08:29 - 08:29) (bathroom) (other, master_bathroom, other, personal_hygiene, bathroom|using_the_sink)
[put] <toothpaste> <toothbrush> (08:29 - 08:30) (bathroom) (other, master_bathroom, other, personal_hygiene, bathroom|using_the_sink)
[switchon] <faucet> (08:30 - 08:31) (bathroom) (other, master_bathroom, other, personal_hygiene, bathroom|using_the_sink)
[drink] <waterglass> (08:31 - 08:33) (bathroom) (other, master_bathroom, other, personal_hygiene, bathroom|using_the_sink)
[switchoff] <faucet> (08:34 - 08:34) (bathroom) (other, master_bathroom, other, personal_hygiene, bathroom|using_the_sink)

[walk] <bedroom> (08:34 - 08:34) (bedroom) (relax, other, other, other, other)
[walk] <bedroom> (08:34 - 08:34) (bedroom) (relax, other, other, other, other)
[sit] <rug> (08:34 - 08:35) (bedroom) (relax, other, other, other, other)
[touch] <pillow> (08:35 - 08:36) (bedroom) (relax, other, other, other, other)
