[walk] <bedroom> (07:23 - 07:23) (bedroom) (other, master_bedroom_activity, wake, other, other)
[standup] (7:23 - 7:23) (bedroom) (other, master_bedroom_activity, wake, other, other)
[walk] <window> (7:23 - 7:24) (bedroom) (other, master_bedroom_activity, wake, other, other)
[open] <curtains> (7:24 - 7:24) (bedroom) (other, master_bedroom_activity, wake, other, other)
[walk] <bed> (7:24 - 7:24) (bedroom) (other, master_bedroom_activity, wake, other, other)
[grab] <pillow> (7:24 - 7:25) (bedroom) (other, master_bedroom_activity, wake, other, other)
[put] <pillow> <bed> (7:25 - 7:25) (bedroom) (other, master_bedroom_activity, wake, other, other)
[walk] <nightstand> (7:25 - 7:25) (bedroom) (other, master_bedroom_activity, wake, other, other)
[grab] <cellphone> (7:25 - 7:26) (bedroom) (other, master_bedroom_activity, wake, other, other)
[lookat] <cellphone> (7:26 - 7:26) (bedroom) (other, master_bedroom_activity, wake, other, other)

[walk] <bathroom> (07:26 - 07:26) (bathroom) (other, master_bathroom, other, personal_hygiene, bathroom|using_the_sink)
[walk] <bathroom> (07:26 - 07:26) (bathroom) (other, master_bathroom, other, personal_hygiene, bathroom|using_the_sink)
[switchon] <lightswitch> (07:26 - 07:26) (bathroom) (other, master_bathroom, other, personal_hygiene, bathroom|using_the_sink)
[walk] <bathroomcounter> (07:26 - 07:27) (bathroom) (other, master_bathroom, other, personal_hygiene, bathroom|using_the_sink)
[grab] <toothbrush> (07:27 - 07:27) (bathroom) (other, master_bathroom, other, personal_hygiene, bathroom|using_the_sink)
[lookat] <toothpaste> (07:27 - 07:28) (bathroom) (other, master_bathroom, other, personal_hygiene, bathroom|using_the_sink)
[grab] <toothpaste> (07:28 - 07:28) (bathroom) (other, master_bathroom, other, personal_hygiene, bathroom|using_the_sink)
[put] <toothpaste> <toothbrush> (07:28 - 07:29) (bathroom) (other, master_bathroom, other, personal_hygiene, bathroom|using_the_sink)
[grab] <waterglass> (07:29 - 07:30) (bathroom) (other, master_bathroom, other, personal_hygiene, bathroom|using_the_sink)
[drink] <waterglass> (07:30 - 07:31) (bathroom) (other, master_bathroom, other, personal_hygiene, bathroom|using_the_sink)
[switchoff] <lightswitch> (07:32 - 07:32) (bathroom) (other, master_bathroom, other, personal_hygiene, bathroom|using_the_sink)

[walk] <bedroom> (07:32 - 07:32) (bedroom) (relax, meditate, other, other, bedroom|reading)
[walk] <bedroom> (07:32 - 07:32) (bedroom) (relax, meditate, other, other, bedroom|reading)
[switchon] <ceilinglamp> (07:32 - 07:32) (bedroom) (relax, meditate, other, other, bedroom|reading)
[walk] <rug> (07:32 - 07:33) (bedroom) (relax, meditate, other, other, bedroom|reading)
[sit] <rug> (07:33 - 07:34) (bedroom) (relax, meditate, other, other, bedroom|reading)
[standup] (07:34 - 07:34) (bedroom) (relax, meditate, other, other, bedroom|reading)
