[walk] <bedroom> (06:15 - 06:15) (bedroom) (other, master_bedroom_activity, wake, other, other)
[standup] (06:15 - 06:15) (bedroom) (other, master_bedroom_activity, wake, other, other)
[lookat] <ceilinglamp> (06:15 - 06:16) (bedroom) (other, master_bedroom_activity, wake, other, other)
[switchon] <ceilinglamp> (06:16 - 06:16) (bedroom) (other, master_bedroom_activity, wake, other, other)
[walk] <bed> (06:16 - 06:16) (bedroom) (other, master_bedroom_activity, wake, other, other)
[grab] <pillow> (06:16 - 06:17) (bedroom) (other, master_bedroom_activity, wake, other, other)
[put] <pillow> <bed> (06:17 - 06:17) (bedroom) (other, master_bedroom_activity, wake, other, other)
[walk] <window> (06:17 - 06:18) (bedroom) (other, master_bedroom_activity, wake, other, other)
[open] <curtains> (06:18 - 06:18) (bedroom) (other, master_bedroom_activity, wake, other, other)
[lookat] <window> (06:18 - 06:19) (bedroom) (other, master_bedroom_activity, wake, other, other)
[walk] <nightstand> (06:19 - 06:19) (bedroom) (other, master_bedroom_activity, wake, other, other)
[grab] <cellphone> (06:19 - 06:20) (bedroom) (other, master_bedroom_activity, wake, other, other)
[sit] <chair> (06:20 - 06:20) (bedroom) (other, master_bedroom_activity, wake, other, other)

[walk] <bathroom> (06:20 - 06:20) (bathroom) (other, master_bathroom, other, personal_hygiene, bathroom|using_the_sink)
[walk] <bathroom> (06:20 - 06:20) (bathroom) (other, master_bathroom, other, personal_hygiene, bathroom|using_the_sink)
[switchon] <lightswitch> (06:20 - 06:20) (bathroom) (other, master_bathroom, other, personal_hygiene, bathroom|using_the_sink)
[walk] <bathroomcounter> (06:20 - 06:21) (bathroom) (other, master_bathroom, other, personal_hygiene, bathroom|using_the_sink)
[grab] <toothbrush> (06:21 - 06:21) (bathroom) (other, master_bathroom, other, personal_hygiene, bathroom|using_the_sink)
[lookat] <toothpaste> (06:21 - 06:22) (bathroom) (other, master_bathroom, other, personal_hygiene, bathroom|using_the_sink)
[grab] <toothpaste> (06:22 - 06:22) (bathroom) (other, master_bathroom, other, personal_hygiene, bathroom|using_the_sink)
[put] <toothpaste> <toothbrush> (06:22 - 06:23) (bathroom) (other, master_bathroom, other, personal_hygiene, bathroom|using_the_sink)
[drink] <waterglass> (06:23 - 06:25) (bathroom) (other, master_bathroom, other, personal_hygiene, bathroom|using_the_sink)
