[walk] <bedroom> (06:43 - 06:43) (bedroom) (other, master_bedroom_activity, wake, other, other)
[standup] (06:43 - 06:43) (bedroom) (other, master_bedroom_activity, wake, other, other)
[lookat] <pillow> (06:43 - 06:44) (bedroom) (other, master_bedroom_activity, wake, other, other)
[grab] <pillow> (06:44 - 06:44) (bedroom) (other, master_bedroom_activity, wake, other, other)
[put] <pillow> <bed> (06:44 - 06:44) (bedroom) (other, master_bedroom_activity, wake, other, other)
[walk] <window> (06:44 - 06:45) (bedroom) (other, master_bedroom_activity, wake, other, other)
[open] <curtains> (06:45 - 06:45) (bedroom) (other, master_bedroom_activity, wake, other, other)
[walk] <doorjamb> (06:45 - 06:45) (bedroom) (other, master_bedroom_activity, wake, other, other)
[turnright] (06:45 - 06:46) (bedroom) (other, master_bedroom_activity, wake, other, other)
[walk] <slippers> (06:46 - 06:46) (bedroom) (other, master_bedroom_activity, wake, other, other)

[walk] <bathroom> (06:46 - 06:46) (bathroom) (other, master_bathroom, bed_to_toilet, personal_hygiene, bathroom|using_the_sink)
[walk] <bathroom> (06:46 - 06:46) (bathroom) (other, master_bathroom, bed_to_toilet, personal_hygiene, bathroom|using_the_sink)
[switchon] <lightswitch> (06:46 - 06:46) (bathroom) (other, master_bathroom, bed_to_toilet, personal_hygiene, bathroom|using_the_sink)
[walk] <bathroomcounter> (06:46 - 06:47) (bathroom) (other, master_bathroom, bed_to_toilet, personal_hygiene, bathroom|using_the_sink)
[grab] <toothbrush> (06:47 - 06:47) (bathroom) (other, master_bathroom, bed_to_toilet, personal_hygiene, bathroom|using_the_sink)
[lookat] <toothpaste> (06:47 - 06:48) (bathroom) (other, master_bathroom, bed_to_toilet, personal_hygiene, bathroom|using_the_sink)
[grab] <toothpaste> (06:48 - 06:48) (bathroom) (other, master_bathroom, bed_to_toilet, personal_hygiene, bathroom|using_the_sink)
[put] <toothpaste> <toothbrush> (06:48 - 06:49) (bathroom) (other, master_bathroom, bed_to_toilet, personal_hygiene, bathroom|using_the_sink)
[touch] <toothbrush> (06:49 - 06:50) (bathroom) (other, master_bathroom, bed_to_toilet, personal_hygiene, bathroom|using_the_sink)
[drink] <waterglass> (06:50 - 06:50) (bathroom) (other, master_bathroom, bed_to_toilet, personal_hygiene, bathroom|using_the_sink)
[put] <waterglass> <bathroomcounter> (06:50 - 06:51) (bathroom) (other, master_bathroom, bed_to_toilet, personal_hygiene, bathroom|using_the_sink)
[switchoff] <lightswitch> (06:51 - 06:51) (bathroom) (other, master_bathroom, bed_to_toilet, personal_hygiene, bathroom|using_the_sink)
[standup] (06:51 - 06:52) (bathroom) (other, master_bathroom, bed_to_toilet, personal_hygiene, bathroom|using_the_sink)
[walk] <door> (06:52 - 06:53) (bathroom) (other, master_bathroom, bed_to_toilet, personal_hygiene, bathroom|using_the_sink)

[walk] <bedroom> (06:53 - 06:53) (bedroom) (other, other, other, other, other)
[walk] <bedroom> (06:53 - 06:53) (bedroom) (other, other, other, other, other)
[switchon] <ceilinglamp> (06:53 - 06:54) (bedroom) (other, other, other, other, other)
[grab] <rug> (06:54 - 06:55) (bedroom) (other, other, other, other, other)
[put] <> <bed> (06:55 - 06:56) (bedroom) (other, other, other, other, other)
[sit] <bed> (06:56 - 06:57) (bedroom) (other, other, other, other, other)
[lookat] <ceilinglamp> (06:57 - 06:58) (bedroom) (other, other, other, other, other)
[standup] (06:58 - 06:59) (bedroom) (other, other, other, other, other)
[put] <> <rug> (06:59 - 07:00) (bedroom) (other, other, other, other, other)
[walk] <bed> (07:00 - 07:00) (bedroom) (other, other, other, other, other)
[grab] <mug> (07:00 - 07:01) (bedroom) (other, other, other, other, other)
[drink] <mug> (07:01 - 07:04) (bedroom) (other, other, other, other, other)
[put] <> <mug> (07:04 - 07:05) (bedroom) (other, other, other, other, other)
[walk] <rug> (07:05 - 07:06) (bedroom) (other, other, other, other, other)
[sit] <bed> (07:06 - 07:07) (bedroom) (other, other, other, other, other)
[turnleft] (07:07 - 07:08) (bedroom) (other, other, other, other, other)
[close] <curtains> (07:08 - 07:09) (bedroom) (other, other, other, other, other)
[lookat] <photoframe> (07:09 - 07:10) (bedroom) (other, other, other, other, other)
[grab] <rug> (07:10 - 07:11) (bedroom) (other, other, other, other, other)
[put] <> <bed> (07:11 - 07:12) (bedroom) (other, other, other, other, other)
[sit] <bed> (07:12 - 07:13) (bedroom) (other, other, other, other, other)
[lookat] <wallpictureframe> (07:13 - 07:14) (bedroom) (other, other, other, other, other)
[standup] (07:14 - 07:15) (bedroom) (other, other, other, other, other)
[walk] <bed> (07:15 - 07:16) (bedroom) (other, other, other, other, other)
