[walk] <bedroom> (07:12 - 07:12) (bedroom) (other, master_bedroom_activity, wake, other, other)
[standup] (7:12 - 7:12) (bedroom) (other, master_bedroom_activity, wake, other, other)
[walk] <bed> (7:12 - 7:12) (bedroom) (other, master_bedroom_activity, wake, other, other)
[grab] <pillow> (7:12 - 7:13) (bedroom) (other, master_bedroom_activity, wake, other, other)
[put] <pillow> <bed> (7:13 - 7:13) (bedroom) (other, master_bedroom_activity, wake, other, other)
[walk] <window> (7:13 - 7:13) (bedroom) (other, master_bedroom_activity, wake, other, other)
[open] <curtains> (7:13 - 7:14) (bedroom) (other, master_bedroom_activity, wake, other, other)
[lookat] <photoframe> (7:14 - 7:14) (bedroom) (other, master_bedroom_activity, wake, other, other)
[walk] <doorjamb> (7:14 - 7:14) (bedroom) (other, master_bedroom_activity, wake, other, other)
[put] <slippers> <nightstand> (7:14 - 7:14) (bedroom) (other, master_bedroom_activity, wake, other, other)
[grab] <cellphone> (7:14 - 7:15) (bedroom) (other, master_bedroom_activity, wake, other, other)
[touch] <ceilinglamp> (7:15 - 7:15) (bedroom) (other, master_bedroom_activity, wake, other, other)
[switchon] <ceilinglamp> (7:15 - 7:15) (bedroom) (other, master_bedroom_activity, wake, other, other)

[walk] <bathroom> (07:15 - 07:15) (bathroom) (other, master_bathroom, other, personal_hygiene, bathroom|using_the_sink)
[walk] <bathroom> (07:15 - 07:15) (bathroom) (other, master_bathroom, other, personal_hygiene, bathroom|using_the_sink)
[switchon] <lightswitch> (07:15 - 07:15) (bathroom) (other, master_bathroom, other, personal_hygiene, bathroom|using_the_sink)
[walk] <bathroomcounter> (07:15 - 07:16) (bathroom) (other, master_bathroom, other, personal_hygiene, bathroom|using_the_sink)
[grab] <toothbrush> (07:16 - 07:16) (bathroom) (other, master_bathroom, other, personal_hygiene, bathroom|using_the_sink)
[lookat] <toothpaste> (07:16 - 07:17) (bathroom) (other, master_bathroom, other, personal_hygiene, bathroom|using_the_sink)
[grab] <toothpaste> (07:17 - 07:17) (bathroom) (other, master_bathroom, other, personal_hygiene, bathroom|using_the_sink)
[put] <toothpaste> <toothbrush> (07:17 - 07:18) (bathroom) (other, master_bathroom, other, personal_hygiene, bathroom|using_the_sink)
[drink] <waterglass> (07:18 - 07:20) (bathroom) (other, master_bathroom, other, personal_hygiene, bathroom|using_the_sink)
[put] <waterglass> <bathroomcounter> (07:20 - 07:20) (bathroom) (other, master_bathroom, other, personal_hygiene, bathroom|using_the_sink)
[switchoff] <lightswitch> (07:21 - 07:21) (bathroom) (other, master_bathroom, other, personal_hygiene, bathroom|using_the_sink)

[walk] <bedroom> (07:21 - 07:21) (bedroom) (other, meditate, other, other, bedroom|reading)
[walk] <bedroom> (7:21 - 7:21) (bedroom) (other, meditate, other, other, bedroom|reading)
[switchon] <ceilinglamp> (7:21 - 7:21) (bedroom) (other, meditate, other, other, bedroom|reading)
[grab] <rug> (7:21 - 7:22) (bedroom) (other, meditate, other, other, bedroom|reading)
[put] <> <rug> (7:22 - 7:23) (bedroom) (other, meditate, other, other, bedroom|reading)
[sit] <rug> (7:23 - 7:26) (bedroom) (other, meditate, other, other, bedroom|reading)
[standup] (7:26 - 7:26) (bedroom) (other, meditate, other, other, bedroom|reading)
[walkforward] (7:26 - 7:27) (bedroom) (other, meditate, other, other, bedroom|reading)
[touch] <ceilinglamp> (7:27 - 7:27) (bedroom) (other, meditate, other, other, bedroom|reading)
[switchoff] <ceilinglamp> (7:27 - 7:27) (bedroom) (other, meditate, other, other, bedroom|reading)
[grab] <book> (7:27 - 7:28) (bedroom) (other, meditate, other, other, bedroom|reading)
[lookat] <book> (7:28 - 7:29) (bedroom) (other, meditate, other, other, bedroom|reading)
[sit] <rug> (7:29 - 7:35) (bedroom) (other, meditate, other, other, bedroom|reading)
[standup] (7:35 - 7:35) (bedroom) (other, meditate, other, other, bedroom|reading)
[grab] <mug> (7:35 - 7:36) (bedroom) (other, meditate, other, other, bedroom|reading)
[drink] <mug> (7:36 - 7:40) (bedroom) (other, meditate, other, other, bedroom|reading)
[put] <mug> <coffeetable> (7:40 - 7:41) (bedroom) (other, meditate, other, other, bedroom|reading)
[walk] <closet> (7:41 - 7:42) (bedroom) (other, meditate, other, other, bedroom|reading)
[open] <closet> (7:42 - 7:42) (bedroom) (other, meditate, other, other, bedroom|reading)
[grab] <clothesshirt> (7:42 - 7:43) (bedroom) (other, meditate, other, other, bedroom|reading)
[put] <clothesshirt> <chair> (7:43 - 7:44) (bedroom) (other, meditate, other, other, bedroom|reading)
[lookat] <window> (7:44 - 7:46) (bedroom) (other, meditate, other, other, bedroom|reading)
[standup] (7:46 - 7:46) (bedroom) (other, meditate, other, other, bedroom|reading)
[walk] <doorjamb> (7:46 - 7:48) (bedroom) (other, meditate, other, other, bedroom|reading)
[turnright] (7:48 - 7:50) (bedroom) (other, meditate, other, other, bedroom|reading)
[open] <doorjamb> (7:50 - 7:50) (bedroom) (other, meditate, other, other, bedroom|reading)

[walk] <bathroom> (07:50 - 07:50) (bathroom) (other, master_bathroom, other, personal_hygiene, bathroom|showering)
[walk] <bathroom> (07:50 - 07:50) (bathroom) (other, master_bathroom, other, personal_hygiene, bathroom|showering)
[switchon] <lightswitch> (07:50 - 07:50) (bathroom) (other, master_bathroom, other, personal_hygiene, bathroom|showering)
[walk] <stall> (07:50 - 07:51) (bathroom) (other, master_bathroom, other, personal_hygiene, bathroom|showering)
[open] <stall> (07:51 - 07:51) (bathroom) (other, master_bathroom, other, personal_hygiene, bathroom|showering)
[standup] (07:52 - 07:52) (bathroom) (other, master_bathroom, other, personal_hygiene, bathroom|showering)
[grab] <barsoap> (07:52 - 07:52) (bathroom) (other, master_bathroom, other, personal_hygiene, bathroom|showering)
[put] <barsoap> <bathroomcounter> (07:52 - 07:53) (bathroom) (other, master_bathroom, other, personal_hygiene, bathroom|showering)
[walk] <faucet> (07:53 - 07:54) (bathroom) (other, master_bathroom, other, personal_hygiene, bathroom|showering)
[turnright] (07:54 - 07:54) (bathroom) (other, master_bathroom, other, personal_hygiene, bathroom|showering)
[drink] <waterglass> (07:54 - 07:56) (bathroom) (other, master_bathroom, other, personal_hygiene, bathroom|showering)
[put] <waterglass> <bathroomcounter> (07:56 - 07:56) (bathroom) (other, master_bathroom, other, personal_hygiene, bathroom|showering)
[grab] <towel> (07:56 - 07:57) (bathroom) (other, master_bathroom, other, personal_hygiene, bathroom|showering)
[put] <towel> <towelrack> (07:57 - 07:57) (bathroom) (other, master_bathroom, other, personal_hygiene, bathroom|showering)
[grab] <hairproduct> (07:57 - 07:58) (bathroom) (other, master_bathroom, other, personal_hygiene, bathroom|showering)
[put] <hairproduct> <bathroomcounter> (07:58 - 07:58) (bathroom) (other, master_bathroom, other, personal_hygiene, bathroom|showering)
[grab] <facecream> (07:58 - 07:59) (bathroom) (other, master_bathroom, other, personal_hygiene, bathroom|showering)
[put] <facecream> <bathroomcounter> (07:59 - 08:00) (bathroom) (other, master_bathroom, other, personal_hygiene, bathroom|showering)
[grab] <deodorant> (08:02 - 08:03) (bathroom) (other, master_bathroom, other, personal_hygiene, bathroom|showering)
[put] <deodorant> <bathroomcounter> (08:03 - 08:03) (bathroom) (other, master_bathroom, other, personal_hygiene, bathroom|showering)
[grab] <perfume> (08:03 - 08:04) (bathroom) (other, master_bathroom, other, personal_hygiene, bathroom|showering)
[put] <perfume> <bathroomcounter> (08:04 - 08:04) (bathroom) (other, master_bathroom, other, personal_hygiene, bathroom|showering)
[walk] <bathroom> (08:04 - 08:05) (bathroom) (other, master_bathroom, other, personal_hygiene, bathroom|showering)
[open] <door> (08:05 - 08:05) (bathroom) (other, master_bathroom, other, personal_hygiene, bathroom|showering)
[walkforward] (08:05 - 08:06) (bathroom) (other, master_bathroom, other, personal_hygiene, bathroom|showering)
[turnleft] (08:06 - 08:06) (bathroom) (other, master_bathroom, other, personal_hygiene, bathroom|showering)
[close] <door> (08:06 - 08:06) (bathroom) (other, master_bathroom, other, personal_hygiene, bathroom|showering)
[sit] <rug> (08:06 - 08:07) (bathroom) (other, master_bathroom, other, personal_hygiene, bathroom|showering)
[standup] (08:07 - 08:07) (bathroom) (other, master_bathroom, other, personal_hygiene, bathroom|showering)
[grab] <towel> (08:07 - 08:08) (bathroom) (other, master_bathroom, other, personal_hygiene, bathroom|showering)
[put] <towel> <towelrack> (08:08 - 08:08) (bathroom) (other, master_bathroom, other, personal_hygiene, bathroom|showering)
[switchoff] <lightswitch> (08:09 - 08:09) (bathroom) (other, master_bathroom, other, personal_hygiene, bathroom|showering)
