group,setting,activity,n,canonical_space,MDD,ACD,SD,KD,ED,DTW
main,baseline,walking,130,activity_sdforger_scaled,0.2662874758243561,0.16520145535469055,0.7979604601860046,1.6677985191345215,21.279075422594623,237.76094527973294
main,baseline,running,98,activity_sdforger_scaled,0.2965030074119568,0.49791526794433594,0.6125606894493103,0.4445028305053711,17.07895641942178,111.08792441836128
main,label-v1,walking,72,activity_sdforger_scaled,0.2755182385444641,0.5499476790428162,1.8412941694259644,1.896688461303711,23.914546674297704,291.82039950275487
main,label-v1,running,90,activity_sdforger_scaled,0.29692384600639343,0.5848610997200012,0.6550609469413757,0.2206275463104248,18.58510604981453,141.00538663481782
main,raw-unified,walking,72,activity_sdforger_scaled,0.25693267583847046,5.972568511962891,3.524390697479248,118.64791107177734,404.58440754490516,6026.478770999061
main,raw-unified,running,79,activity_sdforger_scaled,0.2987109124660492,2.2846179008483887,2.9176406860351562,102.87753295898438,252.41708281732375,3772.6910720501687
main,clip_p05_p95,walking,72,activity_sdforger_scaled,0.27319952845573425,2.2530019283294678,0.5163413882255554,1.143768310546875,20.165584610354514,198.44629909555525
main,clip_p05_p95,running,79,activity_sdforger_scaled,0.3158946633338928,1.9598067998886108,0.3362919092178345,0.4221363067626953,22.644881402292558,139.6946531612205
normalization,current_activity_window_zscore,walking,72,activity_sdforger_scaled,0.25693267583847046,5.972568511962891,3.524390697479248,118.64791107177734,404.58440754490516,6026.478770999061
normalization,current_activity_window_zscore,running,79,activity_sdforger_scaled,0.2987109124660492,2.2846179008483887,2.9176406860351562,102.87753295898438,252.41708281732375,3772.6910720501687
normalization,joint_window_zscore,walking,55,activity_sdforger_scaled,0.2732198238372803,3.218395709991455,2.5336050987243652,155.5325164794922,108.18836996632237,1362.4140778153878
normalization,joint_window_zscore,running,99,activity_sdforger_scaled,0.29424047470092773,3.9574575424194336,16.013338088989258,287.4901123046875,458.57777675505605,6624.400618124842
normalization,global_series_zscore,walking,61,activity_sdforger_scaled,0.3046351969242096,3.1547276973724365,3.241011619567871,199.23777770996094,167.12071231103712,2166.043914364866
normalization,global_series_zscore,running,62,activity_sdforger_scaled,0.30800196528434753,1.2505149841308594,6.025716781616211,70.52632141113281,55.90114670415078,613.9622098678578
normalization,activity_series_zscore,walking,57,activity_sdforger_scaled,0.26881736516952515,1.300073504447937,9.77467155456543,91.9185562133789,23.596090009135583,224.50017056319092
normalization,activity_series_zscore,running,59,activity_sdforger_scaled,0.29421567916870117,2.458810567855835,0.5862551331520081,122.33949279785156,2906.0595142302973,41885.92231389375
