ref,setting,activity,n,MDD,ACD,SD,KD,ED,DTW
train_101_102_105,clip_p05_p95,walking,51,0.17056603729724884,0.7402143478393555,0.3849767744541168,0.6617801189422607,20.057658768858147,182.69752106067472
train_101_102_105,clip_p05_p95,running,58,0.2106289118528366,0.7380952835083008,0.6988921165466309,0.022925853729248047,20.170201627896724,154.7028074096632
train_101_102_105,shrink_p05_p95,walking,51,0.21888647973537445,1.2908200025558472,0.6634870767593384,0.6499688625335693,16.751574220881395,187.67937810890294
train_101_102_105,shrink_p05_p95,running,58,0.2651480734348297,0.7928217649459839,0.7450655102729797,3.2876927852630615,17.927037499631233,187.76983999173478
train_101_102_105,shrink_minmax,walking,51,0.19217446446418762,1.0620039701461792,0.9855836629867554,1.3453290462493896,17.967274572505662,176.76266184801017
train_101_102_105,shrink_minmax,running,58,0.211409330368042,1.4599906206130981,0.7353478074073792,0.9670851230621338,20.356283131229716,169.5718189225001
train_101_102_105,waveform_interp,walking,45,0.18432392179965973,2.053321599960327,0.16972018778324127,0.36370038986206055,27.338623752616265,228.85640643640025
train_101_102_105,waveform_interp,running,50,0.20841079950332642,1.929945945739746,0.27311083674430847,0.10837149620056152,24.346884661100507,168.16400191799704
heldout_106_108,clip_p05_p95,walking,51,0.19095948338508606,1.4009534120559692,0.32893097400665283,1.0906486511230469,20.08303775714215,169.4572770948376
heldout_106_108,clip_p05_p95,running,58,0.2425146996974945,1.7431771755218506,1.0338010787963867,0.8451845645904541,20.117142819095676,151.33039416040805
heldout_106_108,shrink_p05_p95,walking,51,0.24210041761398315,0.7607377171516418,0.607441246509552,0.2211003303527832,17.538442437470614,183.66980639941207
heldout_106_108,shrink_p05_p95,running,58,0.25791609287261963,1.7713606357574463,1.0799745321273804,2.4195823669433594,17.548383023066467,180.6714160952363
heldout_106_108,shrink_minmax,walking,51,0.2122759371995926,0.6880029439926147,0.9295378923416138,0.9164605140686035,18.86480707937289,171.48087114120156
heldout_106_108,shrink_minmax,running,58,0.23439766466617584,2.2889888286590576,1.0702568292617798,0.09897470474243164,19.92900315493006,165.7881547448467
heldout_106_108,waveform_interp,walking,45,0.19205689430236816,1.0377988815307617,0.11367438733577728,0.7925689220428467,25.982419505532683,192.3729451433873
heldout_106_108,waveform_interp,running,50,0.24128064513206482,2.464355230331421,0.6080198287963867,0.9764819145202637,24.44857942214672,179.10765435794397
