sample_index,acf_peak_lag,acf_peak_score,psd_peak_hz,psd_peak_power,mean,std,abs_max,real_reference_acf_lag_median,expected_period,acf_lag_distance,psd_peak_hz_distance,std_ratio_to_real_median,amp_ratio_to_real_absmax_q95,quality_score,quality_label
22,82.0,0.8954274354426645,1.3333333333333333,0.980982934562591,0.3091116641556354,0.7961796489843277,1.4925344271528218,82.0,82,0.0,0.0,0.9396772539276963,0.3830776981267922,0.06221880956055433,good
15,82.0,0.8753796819519861,1.3333333333333333,1.3036808306650545,0.6635066749662764,0.9150605955187342,1.8964408672538147,82.0,82,0.0,0.0,1.0799844340048088,0.4867453566528577,0.07694662807375029,good
71,82.0,0.9089863715290931,1.3333333333333333,0.7171271461062707,-0.9289058153869608,0.7707025263481978,1.9828703689859188,82.0,82,0.0,0.0,0.9096083207827235,0.5089285733153635,0.09474118884938869,good
1,81.0,0.8909044960529876,1.3333333333333333,1.565502843343353,0.7914747296296771,0.943332201920359,2.0028876840206618,82.0,82,1.0,0.0,1.1133515082593362,0.5140662685180236,0.11956996492230591,good
26,81.0,0.9154233146443485,1.3333333333333333,1.5603282855304352,1.0482119844306301,0.9469471394396836,2.1395049034711304,82.0,82,1.0,0.0,1.1176179757150322,0.5491307929936187,0.12339473499421742,good
60,81.0,0.8063411389446334,1.3333333333333333,1.3038029562415177,0.571434273729856,0.958761348766404,1.7948338582999606,82.0,82,1.0,0.0,1.131561491844365,0.4606666422222354,0.13579365198746066,good
10,69.0,0.40540491706903253,1.3333333333333333,0.914054993373821,0.7157320923998488,0.8773910535079914,2.474555844298482,82.0,82,13.0,0.0,1.035525608865879,0.6351258232135922,0.19344571783183145,borderline
13,79.0,0.567224224599189,1.3333333333333333,1.3108343634570296,-0.6096669167184431,0.9919899297504898,2.136328472920851,82.0,82,3.0,0.0,1.1707789495762626,0.5483155222157232,0.19425466200614847,good
30,78.0,0.4039660262613105,1.3333333333333333,0.9773074778997913,-0.6116287612231162,0.9818508062221785,2.57553849012125,82.0,82,4.0,0.0,1.1588124244754623,0.661044287008316,0.19617619650673174,good
40,81.0,0.9149451592066685,1.3333333333333333,0.8305058749365891,0.6402803390088654,0.6999028169488449,1.423833256496251,82.0,82,1.0,0.0,0.8260481888550454,0.36544468019772547,0.20329728909587644,good
27,79.0,0.5072281490515276,1.3333333333333333,1.2402437175497787,-0.8238482895718982,1.0113464935851997,2.3039050422983305,82.0,82,3.0,0.0,1.193624199103652,0.5913261525162707,0.213579590163468,good
33,78.0,0.49189495032063757,1.3333333333333333,0.5380190680633685,-1.8148357281520873,0.7131338156934518,3.0837312011352167,82.0,82,4.0,0.0,0.8416638461792604,0.7914783261824833,0.22115506482542557,good
29,82.0,0.9626614753090867,1.3333333333333333,1.6180782886771796,0.7587300712602043,1.061115342644562,1.9789164549750828,82.0,82,0.0,0.0,1.252363022024965,0.5079137516467258,0.22503218434352,good
59,82.0,0.7435759220491427,1.3333333333333333,1.6131235332351819,-0.6973889997451493,1.1505000556799503,3.020466832787645,82.0,82,0.0,0.0,1.3578577829063276,0.7752407318200775,0.3059082982520689,good
17,81.0,0.8475087120330257,1.3333333333333333,0.569653410108848,-0.24772412128111548,0.6299314182174162,1.0781788301660151,82.0,82,1.0,0.0,0.7434656562604159,0.27672813230642124,0.30862782808333,good
37,81.0,0.7089674361626535,1.3333333333333333,0.5122139186455926,0.05873720872161215,0.6117413830878723,1.4494008017125206,82.0,82,1.0,0.0,0.7219971820521351,0.37200691165451344,0.337929165023029,good
74,78.0,0.4391779049022868,1.3333333333333333,0.4206090636032893,-0.08766589904035609,0.6289646665819574,1.391400101176827,82.0,82,4.0,0.0,0.7423246643709638,0.35712030371653797,0.34674906625746255,good
12,82.0,0.7016215881003023,1.3333333333333333,0.38226943394467633,0.8499342952553661,0.5989699051774324,1.7622422822332835,82.0,82,0.0,0.0,0.7069238662410743,0.4523016050674385,0.34683230454027003,good
5,82.0,0.9091573478504691,1.3333333333333333,1.8728329457801942,0.7054308683303843,1.2083840902932972,2.492289854939467,82.0,82,0.0,0.0,1.426174413155685,0.6396774796788063,0.3549956238787616,good
75,78.0,0.4011572732856958,1.3333333333333333,0.30367891765484184,0.23409273822288312,0.6155457335937082,1.6656592111805457,82.0,82,4.0,0.0,0.7264872009076319,0.42751234737006083,0.3683149014024356,good
16,74.0,0.19625872987886395,1.3333333333333333,0.22444556128103058,-1.2085375177311535,0.6454955441863921,2.445792790761788,82.0,82,8.0,0.0,0.7618349466196574,0.6277434244296973,0.3695863278536171,good
58,73.0,0.3595396870491393,1.3333333333333333,1.118506731374478,-1.0195164590917463,1.1126471881863864,3.592305873549988,82.0,82,9.0,0.0,1.3131825910384918,0.9220104005453414,0.38220974721807655,good
