value_0,value_1,value_2,value_3,value_4,data
-0.18,0.708,-0.9370811139009024,-0.13,-0.17,walking
-1.3463788656506592,1.085,0.602,-0.155,-3.005,walking
-0.463,2.0607710384816476,0.926,-0.696,-0.242,walking
-1.3463788656506592,-3.3591257740123184,-0.9370811139009024,5.286187812443053,0.743,walking
-0.792,-3.3591257740123184,0.602,-1.1379541429637117,-0.127,walking
0.083,2.0607710384816476,0.017,-1.1379541429637117,2.395,walking
-1.3463788656506592,1.0,-0.709,-0.872,2.655024138174621,walking
0.11,-1.277,0.0,0.0,-1.022,walking
0.086,-0.186,0.39,0.016,0.185,walking
0.205,2.0607710384816476,0.558,-0.081,-0.96,walking
-0.048,-0.744,-0.451,-1.122,0.927,walking
-0.614,1.317,0.2,-1.081,0.915,walking
-0.309,2.0607710384816476,-0.866,-1.1379541429637117,0.138,walking
-1.3463788656506592,-1.097,0.308,-1.1379541429637117,0.478,walking
2.1415912455744803,2.0607710384816476,-0.119,-1.1379541429637117,-0.572,walking
-0.125,0.066,-0.262,0.268,1.4,walking
2.1415912455744803,1.287,-0.9370811139009024,2.177,-0.528,walking
-1.3463788656506592,0.849,-0.9370811139009024,2.24,-0.612,walking
-1.3463788656506592,0.606,-0.346,-0.79,-0.11,walking
1.242,1.395,-0.43,-0.249,0.842,walking
0.798,-0.108,-0.9370811139009024,2.752,1.191,walking
0.379,-0.748,0.507,1.353,0.23,walking
0.475,0.168,-0.153,0.353,0.543,walking
-0.18,0.483,0.631,-0.606,2.655024138174621,walking
0.149,0.622,5.413216890901588,1.229,-0.599,walking
-0.112,2.0607710384816476,1.324,-1.068,0.137,walking
-1.225,0.312,2.033,1.769,0.269,walking
-0.895,0.365,5.052,-1.123,-1.4,walking
1.286,-2.158,2.037,-0.044,0.311,walking
-0.48,0.348,0.835,0.464,-0.096,walking
-0.136,0.529,0.378,-0.708,-0.586,walking
-0.065,-0.807,0.79,1.89,0.189,walking
1.374,-1.322,2.312,5.286187812443053,2.365,walking
0.707,2.0607710384816476,2.081,0.099,0.742,walking
0.169,-0.482,0.081,-0.617,0.03,walking
0.064,2.0607710384816476,-0.059,5.286187812443053,0.893,walking
1.124,1.002,0.359,-0.631,-0.131,walking
-0.167,0.189,-0.054,0.654,-3.188,walking
-0.25,-1.327,-0.9370811139009024,-1.1379541429637117,-0.765,walking
0.31,0.34,-0.9370811139009024,-0.081,-1.194,walking
-0.543,-0.054,-0.33,-0.919,-0.617,walking
0.162,0.462,-0.279,0.544,-0.283,walking
-1.3463788656506592,-0.031,-0.217,-1.1379541429637117,-0.181,walking
-0.507,0.582,-0.9370811139009024,1.592,0.205,walking
-0.628,0.932,5.413216890901588,0.3,1.582,walking
2.132,0.789,0.576,-1.1379541429637117,2.655024138174621,walking
-1.3463788656506592,-0.052,1.365,-1.1379541429637117,2.655024138174621,walking
-1.187,0.101,2.733,-0.468,-0.08,walking
-0.104,-0.836,-0.9370811139009024,-0.227,0.291,walking
0.746,-0.807,-0.25,0.317,0.247,walking
0.37,-0.877,-0.73,-0.124,0.309,walking
2.1415912455744803,-0.207,-0.409,-0.278,-0.942,walking
-1.028,1.019,-0.9370811139009024,-0.006,0.057,walking
-1.21,0.044,-0.9370811139009024,-0.804,1.602,walking
-1.142,-0.762,0.357,0.098,0.752,walking
-0.27,-0.052,-0.303,1.174,0.183,walking
0.198,0.011,3.451,0.196,-0.468,walking
-0.277,0.672,0.176,-0.45,0.046,walking
0.307,0.767,-0.9370811139009024,-0.225,2.137,walking
0.45,-0.145,-0.9370811139009024,0.864,1.237,walking
1.06,0.676,5.413216890901588,5.286187812443053,-4.497,walking
-1.175,2.0607710384816476,-0.274,1.295,-0.169,walking
-0.304,-0.285,-0.357,1.884,-1.599,walking
-1.3463788656506592,-2.043,0.705,5.286187812443053,2.135,walking
1.795,-2.278,-0.507,-1.1379541429637117,2.55,walking
0.149,-2.173,-0.056,-0.416,-0.019,walking
0.96,-1.762,-0.092,-0.081,-1.242,walking
2.1415912455744803,-0.302,2.007,-1.1379541429637117,-0.444,walking
-0.882,-3.204,-0.885,1.083,2.655024138174621,walking
2.1415912455744803,0.099,5.413216890901588,-0.557,-0.522,walking
-0.761,0.773,0.493,-1.1379541429637117,2.368,walking
-0.238,0.061,-0.9370811139009024,-0.576,-2.006,walking
