value_0,value_1,value_2,value_3,value_4,data
-1.1914631748965991,-0.495,-0.276,-0.098,0.052,running
1.9795328241172698,-0.263,0.628,-1.0810010233943637,0.175,running
-1.1914631748965991,0.93,1.007,2.1196791423254924,-0.054,running
0.45,-0.188,-0.067,0.496,0.039,running
-1.1914631748965991,1.451325062091404,0.899,-0.18,-1.793327438085662,running
1.9795328241172698,-1.658,-0.786149457687665,0.242,-0.294,running
0.074,1.377,1.6973598469269524,-1.0810010233943637,-0.39,running
-0.237,0.797,1.6973598469269524,-0.42,0.207,running
-0.34,0.007,-0.505,2.1196791423254924,1.1624608358370943,running
-1.1914631748965991,-0.198,-0.786149457687665,-0.579,-1.793327438085662,running
1.9795328241172698,1.451325062091404,0.112,-0.87,-0.533,running
1.9795328241172698,1.451325062091404,-0.786149457687665,0.055,-0.016,running
1.199,-0.202,-0.482,0.39,-1.453,running
-1.1914631748965991,1.451325062091404,-0.409,0.451,-0.406,running
1.02,1.211,-0.349,0.146,-0.203,running
1.9795328241172698,0.095,-0.142,-1.0810010233943637,-0.121,running
0.056,-1.135,-0.786149457687665,-0.072,1.1624608358370943,running
-1.1914631748965991,-0.236,0.187,-0.515,-0.127,running
0.001,0.02,-0.786149457687665,2.1196791423254924,-0.313,running
1.068,0.447,0.1,0.181,0.817,running
0.63,1.451325062091404,-0.041,1.496,-0.277,running
-0.094,0.191,0.451,0.509,0.4,running
1.648,-0.234,0.061,-1.0810010233943637,0.604,running
-0.688,0.052,-0.786149457687665,2.1196791423254924,0.694,running
1.9795328241172698,1.451325062091404,-0.786149457687665,-0.21,1.1624608358370943,running
-0.016,-0.45,-0.786149457687665,2.1196791423254924,0.012,running
1.9795328241172698,-0.25,0.892,0.359,-0.371,running
-1.1914631748965991,1.451325062091404,-0.786149457687665,-0.133,-0.182,running
-0.552,0.28,-0.033,1.27,-1.196,running
1.9795328241172698,-0.387,0.012,1.009,-0.249,running
1.733,1.451325062091404,0.037,0.954,1.1624608358370943,running
-0.872,-0.356,-0.786149457687665,2.0,0.264,running
0.407,0.54,-0.279,1.156,1.1624608358370943,running
-0.977,1.451325062091404,-0.482,0.657,1.1624608358370943,running
-0.215,-1.028,1.6973598469269524,0.042,0.13,running
-0.28,-1.7794091613170404,1.297,-1.0810010233943637,-0.614,running
0.99,0.831,0.002,0.145,-1.151,running
-1.1914631748965991,-0.468,0.149,0.385,-0.861,running
-0.095,-0.037,0.734,-0.236,1.1624608358370943,running
-0.042,-0.469,-0.111,0.651,0.004,running
1.656,-0.006,0.088,0.091,-0.311,running
-0.123,-1.7794091613170404,0.075,-1.0810010233943637,0.404,running
-0.53,0.489,-0.508,2.1196791423254924,-1.462,running
-1.1914631748965991,1.451325062091404,1.6973598469269524,-0.619,-0.353,running
0.13,1.451325062091404,-0.358,-0.083,-0.341,running
-0.606,-1.7794091613170404,-0.078,0.371,1.1624608358370943,running
-0.274,-1.495,1.6973598469269524,-0.185,0.012,running
0.66,-1.043,0.01,2.1196791423254924,0.085,running
-0.346,-0.007,1.356,-0.016,-0.204,running
-0.097,1.451325062091404,0.245,0.307,-0.286,running
-1.148,1.451325062091404,1.07,0.146,-0.269,running
-0.058,-0.346,1.6973598469269524,0.486,1.06,running
-0.45,0.211,0.569,2.1196791423254924,-1.177,running
-0.215,0.367,1.287,0.181,1.111,running
-0.081,1.428,-0.308,-0.126,-0.794,running
-0.4,1.451325062091404,1.196,-0.377,0.194,running
-0.341,-0.179,0.317,0.276,0.965,running
0.717,0.184,1.383,-0.484,-0.452,running
1.9795328241172698,1.451325062091404,-0.786149457687665,0.007,1.1624608358370943,running
1.9795328241172698,0.355,-0.672,-0.6,1.1624608358370943,running
1.9795328241172698,0.219,-0.637,0.351,-0.357,running
0.549,-0.692,-0.461,2.029,-0.094,running
0.355,-0.333,-0.315,-1.0810010233943637,-0.407,running
-0.891,-1.7794091613170404,-0.488,-1.0810010233943637,0.667,running
0.259,1.451325062091404,1.6973598469269524,-0.24,1.1624608358370943,running
-0.4,0.042,-0.786149457687665,0.506,-0.327,running
1.244,1.451325062091404,1.6973598469269524,-0.37,0.009,running
0.196,0.818,-0.786149457687665,-0.246,1.1624608358370943,running
1.9795328241172698,-1.257,1.6973598469269524,-0.247,-0.296,running
-1.045,0.385,-0.189,0.399,1.1624608358370943,running
1.9795328241172698,-0.387,-0.786149457687665,2.1196791423254924,0.179,running
-1.1914631748965991,1.133,0.114,-0.655,1.04,running
0.114,0.384,-0.401,0.357,0.352,running
-0.542,-1.7794091613170404,1.6973598469269524,-1.0810010233943637,-0.127,running
-1.1914631748965991,-0.669,0.809,0.044,-0.017,running
-0.917,-1.176,-0.786149457687665,-0.462,-1.409,running
-0.792,0.37,0.816,-0.078,-0.298,running
-0.243,-0.644,0.371,-0.241,-0.127,running
0.019,0.295,-0.786149457687665,-1.0810010233943637,1.1624608358370943,running
