value_0,value_1,value_2,value_3,value_4,data
-0.18,0.708,-0.786149457687665,-0.13,-0.17,walking
-1.1914631748965991,1.085,0.602,-0.155,-1.793327438085662,walking
-0.463,1.451325062091404,0.926,-0.696,-0.242,walking
-1.1914631748965991,-1.7794091613170404,-0.786149457687665,2.1196791423254924,0.743,walking
-0.792,-1.7794091613170404,0.602,-1.0810010233943637,-0.127,walking
0.083,1.451325062091404,0.017,-1.0810010233943637,1.1624608358370943,walking
-1.1914631748965991,1.0,-0.709,-0.872,1.1624608358370943,walking
0.11,-1.277,0.0,0.0,-1.022,walking
0.086,-0.186,0.39,0.016,0.185,walking
0.205,1.451325062091404,0.558,-0.081,-0.96,walking
-0.048,-0.744,-0.451,-1.0810010233943637,0.927,walking
-0.614,1.317,0.2,-1.081,0.915,walking
-0.309,1.451325062091404,-0.786149457687665,-1.0810010233943637,0.138,walking
-1.1914631748965991,-1.097,0.308,-1.0810010233943637,0.478,walking
1.9795328241172698,1.451325062091404,-0.119,-1.0810010233943637,-0.572,walking
-0.125,0.066,-0.262,0.268,1.1624608358370943,walking
1.9795328241172698,1.287,-0.786149457687665,2.1196791423254924,-0.528,walking
-1.1914631748965991,0.849,-0.786149457687665,2.1196791423254924,-0.612,walking
-1.1914631748965991,0.606,-0.346,-0.79,-0.11,walking
1.242,1.395,-0.43,-0.249,0.842,walking
0.798,-0.108,-0.786149457687665,2.1196791423254924,1.1624608358370943,walking
0.379,-0.748,0.507,1.353,0.23,walking
0.475,0.168,-0.153,0.353,0.543,walking
-0.18,0.483,0.631,-0.606,1.1624608358370943,walking
0.149,0.622,1.6973598469269524,1.229,-0.599,walking
-0.112,1.451325062091404,1.324,-1.068,0.137,walking
-1.1914631748965991,0.312,1.6973598469269524,1.769,0.269,walking
-0.895,0.365,1.6973598469269524,-1.0810010233943637,-1.4,walking
1.286,-1.7794091613170404,1.6973598469269524,-0.044,0.311,walking
-0.48,0.348,0.835,0.464,-0.096,walking
-0.136,0.529,0.378,-0.708,-0.586,walking
-0.065,-0.807,0.79,1.89,0.189,walking
1.374,-1.322,1.6973598469269524,2.1196791423254924,1.1624608358370943,walking
0.707,1.451325062091404,1.6973598469269524,0.099,0.742,walking
0.169,-0.482,0.081,-0.617,0.03,walking
0.064,1.451325062091404,-0.059,2.1196791423254924,0.893,walking
1.124,1.002,0.359,-0.631,-0.131,walking
-0.167,0.189,-0.054,0.654,-1.793327438085662,walking
-0.25,-1.327,-0.786149457687665,-1.0810010233943637,-0.765,walking
0.31,0.34,-0.786149457687665,-0.081,-1.194,walking
-0.543,-0.054,-0.33,-0.919,-0.617,walking
0.162,0.462,-0.279,0.544,-0.283,walking
-1.1914631748965991,-0.031,-0.217,-1.0810010233943637,-0.181,walking
-0.507,0.582,-0.786149457687665,1.592,0.205,walking
-0.628,0.932,1.6973598469269524,0.3,1.1624608358370943,walking
1.9795328241172698,0.789,0.576,-1.0810010233943637,1.1624608358370943,walking
-1.1914631748965991,-0.052,1.365,-1.0810010233943637,1.1624608358370943,walking
-1.187,0.101,1.6973598469269524,-0.468,-0.08,walking
-0.104,-0.836,-0.786149457687665,-0.227,0.291,walking
0.746,-0.807,-0.25,0.317,0.247,walking
0.37,-0.877,-0.73,-0.124,0.309,walking
1.9795328241172698,-0.207,-0.409,-0.278,-0.942,walking
-1.028,1.019,-0.786149457687665,-0.006,0.057,walking
-1.1914631748965991,0.044,-0.786149457687665,-0.804,1.1624608358370943,walking
-1.142,-0.762,0.357,0.098,0.752,walking
-0.27,-0.052,-0.303,1.174,0.183,walking
0.198,0.011,1.6973598469269524,0.196,-0.468,walking
-0.277,0.672,0.176,-0.45,0.046,walking
0.307,0.767,-0.786149457687665,-0.225,1.1624608358370943,walking
0.45,-0.145,-0.786149457687665,0.864,1.1624608358370943,walking
1.06,0.676,1.6973598469269524,2.1196791423254924,-1.793327438085662,walking
-1.175,1.451325062091404,-0.274,1.295,-0.169,walking
-0.304,-0.285,-0.357,1.884,-1.599,walking
-1.1914631748965991,-1.7794091613170404,0.705,2.1196791423254924,1.1624608358370943,walking
1.795,-1.7794091613170404,-0.507,-1.0810010233943637,1.1624608358370943,walking
0.149,-1.7794091613170404,-0.056,-0.416,-0.019,walking
0.96,-1.762,-0.092,-0.081,-1.242,walking
1.9795328241172698,-0.302,1.6973598469269524,-1.0810010233943637,-0.444,walking
-0.882,-1.7794091613170404,-0.786149457687665,1.083,1.1624608358370943,walking
1.9795328241172698,0.099,1.6973598469269524,-0.557,-0.522,walking
-0.761,0.773,0.493,-1.0810010233943637,1.1624608358370943,walking
-0.238,0.061,-0.786149457687665,-0.576,-1.793327438085662,walking
