value_0,value_1,value_2,value_3,value_4,data
0.45,-0.188,-0.067,0.496,0.039,running
2.896,-1.658,-1.103,0.242,-0.294,running
2.231,1.53,0.112,-0.87,-0.533,running
1.199,-0.202,-0.482,0.39,-1.453,running
-2.001,2.161,-0.409,0.451,-0.406,running
1.02,1.211,-0.349,0.146,-0.203,running
3.066,0.095,-0.142,-1.404,-0.121,running
-1.687,-0.236,0.187,-0.515,-0.127,running
1.068,0.447,0.1,0.181,0.817,running
0.63,2.363,-0.041,1.496,-0.277,running
-0.094,0.191,0.451,0.509,0.4,running
1.648,-0.234,0.061,-1.888,0.604,running
2.282,-0.25,0.892,0.359,-0.371,running
-1.567,2.016,-1.093,-0.133,-0.182,running
-0.552,0.28,-0.033,1.27,-1.196,running
2.723,-0.387,0.012,1.009,-0.249,running
1.733,2.92,0.037,0.954,2.0,running
0.407,0.54,-0.279,1.156,1.358,running
0.99,0.831,0.002,0.145,-1.151,running
-1.334,-0.468,0.149,0.385,-0.861,running
-0.095,-0.037,0.734,-0.236,1.246,running
-0.042,-0.469,-0.111,0.651,0.004,running
1.656,-0.006,0.088,0.091,-0.311,running
-0.123,-1.874,0.075,-1.456,0.404,running
0.13,2.892,-0.358,-0.083,-0.341,running
-0.346,-0.007,1.356,-0.016,-0.204,running
-0.097,1.589,0.245,0.307,-0.286,running
-1.148,2.393,1.07,0.146,-0.269,running
-0.215,0.367,1.287,0.181,1.111,running
-0.081,1.428,-0.308,-0.126,-0.794,running
-0.4,2.062,1.196,-0.377,0.194,running
-0.341,-0.179,0.317,0.276,0.965,running
0.717,0.184,1.383,-0.484,-0.452,running
3.057,0.219,-0.637,0.351,-0.357,running
-0.4,0.042,-1.061,0.506,-0.327,running
0.196,0.818,-1.309,-0.246,1.26,running
-1.045,0.385,-0.189,0.399,1.585,running
-3.126,1.133,0.114,-0.655,1.04,running
0.114,0.384,-0.401,0.357,0.352,running
-2.4,-0.669,0.809,0.044,-0.017,running
-0.917,-1.176,-1.064,-0.462,-1.409,running
-0.792,0.37,0.816,-0.078,-0.298,running
-0.243,-0.644,0.371,-0.241,-0.127,running
