sample_index,acf_peak_lag,acf_peak_score,psd_peak_hz,psd_peak_power,mean,std,abs_max,real_reference_acf_lag_median,expected_period,acf_lag_distance,psd_peak_hz_distance,std_ratio_to_real_median,amp_ratio_to_real_absmax_q95,quality_score,quality_label
11,82.0,0.902855821452045,1.3333333333333333,1.049371761266679,0.3305420142029025,0.8844145724313871,1.7393764175275355,82.0,82,0.0,0.0,1.0438149955429499,0.4464327938307917,0.042882266423032944,good
7,81.0,0.8606904005922439,1.3333333333333333,0.8860757666082112,-0.3479708704557596,0.773034102418718,1.2753867196972413,82.0,82,1.0,0.0,0.9123601230952604,0.32734401291841975,0.1039156169854046,good
12,81.0,0.9187163574335082,1.3333333333333333,1.7614476414552913,1.0895350844012368,1.0054508503198527,2.242693359658522,82.0,82,1.0,0.0,1.186665968155667,0.575615405710345,0.18334278951401084,good
22,81.0,0.9149451592066685,1.3333333333333333,0.8305058749365891,0.6402803390088654,0.6999028169488449,1.423833256496251,82.0,82,1.0,0.0,0.8260481888550454,0.36544468019772547,0.20329728909587644,good
2,70.0,0.4107561684328729,1.3333333333333333,1.010528406885713,0.7420456005033126,0.9081921473051604,2.5410441609651566,82.0,82,12.0,0.0,1.0718780668497214,0.6521908843858041,0.2157537759836149,borderline
39,81.0,0.6883244769852692,1.3333333333333333,1.5088008973314635,-0.39775262863211513,1.0508766685014062,2.0217826161521972,82.0,82,1.0,0.0,1.24027900403358,0.5189158900580897,0.22753147951161665,good
13,79.0,0.5535861313989996,1.3333333333333333,1.5278717132123583,-0.9307495854075101,1.0930777286440039,2.510611204206532,82.0,82,3.0,0.0,1.2900860750359868,0.6443798839759003,0.29129430683533486,good
19,81.0,0.7089674361626535,1.3333333333333333,0.5122139186455926,0.05873720872161215,0.6117413830878723,1.4494008017125206,82.0,82,1.0,0.0,0.7219971820521351,0.37200691165451344,0.337929165023029,good
40,78.0,0.3943632275031803,1.3333333333333333,0.3078963512208117,0.19992790851226244,0.6305198313547271,1.7207223892901842,82.0,82,4.0,0.0,0.7441601206840529,0.44164500329949496,0.3442795391363691,good
3,82.0,0.7016215881003023,1.3333333333333333,0.38226943394467633,0.8499342952553661,0.5989699051774324,1.7622422822332835,82.0,82,0.0,0.0,0.7069238662410743,0.4523016050674385,0.34683230454027003,good
4,80.0,0.7160809563800455,1.3333333333333333,2.2408127782708873,-0.8150456718568464,1.2420957682367175,2.586516588001767,82.0,82,2.0,0.0,1.4659620377145133,0.6638619536492801,0.40690195188462414,good
6,82.0,0.8836189636432461,1.3333333333333333,2.7146376256203997,0.9431669380304919,1.300607458286841,2.642793017568581,82.0,82,0.0,0.0,1.5350194474324184,0.6783060057964554,0.42854305029598544,good
15,82.0,0.956104924348066,1.3333333333333333,2.539678131100789,0.9298419950231641,1.301830028611896,2.394470159661247,82.0,82,0.0,0.0,1.5364623649036784,0.614570826849278,0.42948260824590506,good
14,82.0,0.7095160893333003,1.3333333333333333,0.2824093632028299,0.2608520257674824,0.5410496825801618,1.3823469878675565,82.0,82,0.0,0.0,0.6385645257498738,0.3547967085321963,0.44853255027593175,good
33,81.0,0.8486991792814415,1.3333333333333333,2.716340309341133,0.8408443089364573,1.3453283000949887,2.45795232032626,82.0,82,1.0,0.0,1.587800447144259,0.6308643203441374,0.4745448138725127,borderline
8,81.0,0.7163641478085928,1.3333333333333333,0.36328746845484233,-0.06495952748566182,0.5144119875689203,1.105386486705749,82.0,82,1.0,0.0,0.6071258471412728,0.28371131892446666,0.5112143049358737,good
30,79.0,0.36407703775734396,1.0,0.46303925155761944,-0.12844582488251727,0.7355827314109358,1.5874440467012587,82.0,82,3.0,0.33333333333333326,0.8681587905074277,0.4074374434869454,0.5112993418673497,good
27,80.0,0.6090536040689835,1.0,1.0763047967830808,-0.2443387758798183,1.0214941888911608,2.391533809145999,82.0,82,2.0,0.33333333333333326,1.2056008408967007,0.6138171756263575,0.5447016430579643,good
37,82.0,0.9753948843122705,1.3333333333333333,3.3729244402338883,-1.452658499793342,1.483234389694875,3.123017397787883,82.0,82,0.0,0.0,1.7505617231206547,0.8015616217554831,0.5599367210712483,borderline
1,82.0,0.9397834763617372,1.3333333333333333,3.1560613717935078,0.8827945854016459,1.523125375218296,3.0346416136371355,82.0,82,0.0,0.0,1.79764236852642,0.7788788672764454,0.5864760111074544,borderline
36,82.0,0.8299789448559014,1.3333333333333333,0.28218611771725194,-1.0866298997431252,0.4320168550321217,1.7788555025733546,82.0,82,0.0,0.0,0.5098804176983615,0.4565655966314307,0.673579055858602,borderline
24,118.0,0.7077254057385758,1.6666666666666665,1.2585361020176742,-0.27905706965795246,0.8952272912598271,1.7837925070998675,82.0,82,36.0,0.33333333333333326,1.0565765198410935,0.45783274082271475,0.827391706705777,borderline
9,120.0,0.7108531660389084,1.6666666666666665,1.06227005697739,-0.051522879145143745,0.8173187318005961,1.9052435290053853,82.0,82,38.0,0.33333333333333326,0.9646262906390481,0.4890046703007265,0.8327624837152124,borderline
41,82.0,0.8264463374695246,1.0,0.25516731988667873,0.06741987650473988,0.46989648381893445,1.0166379815778437,82.0,82,0.0,0.33333333333333326,0.5545871941194872,0.26093290092747207,0.9228645697006171,good
23,120.0,0.5409991540036984,1.6666666666666665,0.6588225587419192,0.09316679468547893,0.7005162035536527,1.706846712625898,82.0,82,38.0,0.33333333333333326,0.8267721277815642,0.4380836366872378,0.9869741301784438,borderline
16,121.0,0.39942601904633496,1.6666666666666665,1.4848697033209686,-0.7206730927112338,1.0665993077359546,2.8853382852679155,82.0,82,39.0,0.33333333333333326,1.258835376931661,0.7405582936844145,1.0391300789394213,borderline
0,82.0,0.9570114481705215,1.3333333333333333,0.08950928522380273,0.10765413173523716,0.29493985125111816,0.504524864384965,82.0,82,0.0,0.0,0.3480976559135204,0.1294926402903905,1.0552722181330636,borderline
