value_0,value_1,value_2,value_3,value_4,data
-0.18,0.708,-2.043,-0.13,-0.17,walking
-0.463,2.122,0.926,-0.696,-0.242,walking
0.11,-1.277,0.0,0.0,-1.022,walking
0.086,-0.186,0.39,0.016,0.185,walking
-0.048,-0.744,-0.451,-1.122,0.927,walking
-0.614,1.317,0.2,-1.081,0.915,walking
-1.931,-1.097,0.308,-1.462,0.478,walking
-0.125,0.066,-0.262,0.268,1.4,walking
1.242,1.395,-0.43,-0.249,0.842,walking
0.379,-0.748,0.507,1.353,0.23,walking
0.475,0.168,-0.153,0.353,0.543,walking
-0.112,2.124,1.324,-1.068,0.137,walking
-0.48,0.348,0.835,0.464,-0.096,walking
-0.136,0.529,0.378,-0.708,-0.586,walking
0.169,-0.482,0.081,-0.617,0.03,walking
1.124,1.002,0.359,-0.631,-0.131,walking
-0.25,-1.327,-1.897,-1.76,-0.765,walking
0.31,0.34,-1.073,-0.081,-1.194,walking
-0.543,-0.054,-0.33,-0.919,-0.617,walking
0.162,0.462,-0.279,0.544,-0.283,walking
-0.104,-0.836,-1.077,-0.227,0.291,walking
0.746,-0.807,-0.25,0.317,0.247,walking
0.37,-0.877,-0.73,-0.124,0.309,walking
2.617,-0.207,-0.409,-0.278,-0.942,walking
-1.028,1.019,-1.533,-0.006,0.057,walking
-1.21,0.044,-1.18,-0.804,1.602,walking
-1.142,-0.762,0.357,0.098,0.752,walking
-0.27,-0.052,-0.303,1.174,0.183,walking
-0.277,0.672,0.176,-0.45,0.046,walking
0.307,0.767,-1.1,-0.225,2.137,walking
0.45,-0.145,-1.264,0.864,1.237,walking
-1.175,2.531,-0.274,1.295,-0.169,walking
0.149,-2.173,-0.056,-0.416,-0.019,walking
0.96,-1.762,-0.092,-0.081,-1.242,walking
-0.238,0.061,-1.456,-0.576,-2.006,walking
