condition,train_samples,accuracy,balanced_accuracy,macro_f1,confusion_matrix,setting
majority,62,0.5135135135135135,0.5,0.3392857142857143,"[[57, 0], [54, 0]]",clean_unconditioned
real-only,62,0.6126126126126126,0.6086744639376218,0.6021505376344085,"[[43, 14], [29, 25]]",clean_unconditioned
synthetic-only-all,228,0.7027027027027027,0.6978557504873294,0.6905465911970938,"[[50, 7], [26, 28]]",clean_unconditioned
real+synthetic-all,290,0.7117117117117117,0.7071150097465887,0.7010101010101011,"[[50, 7], [25, 29]]",clean_unconditioned
majority,62,0.5135135135135135,0.5,0.3392857142857143,"[[57, 0], [54, 0]]",raw_unified_label_conditioned
real-only,62,0.6126126126126126,0.6086744639376218,0.6021505376344085,"[[43, 14], [29, 25]]",raw_unified_label_conditioned
synthetic-only-all,151,0.4954954954954955,0.5009746588693957,0.4767676767676768,"[[17, 40], [16, 38]]",raw_unified_label_conditioned
real+synthetic-all,213,0.5315315315315315,0.5346003898635477,0.5268852459016393,"[[24, 33], [19, 35]]",raw_unified_label_conditioned
majority,62,0.5135135135135135,0.5,0.3392857142857143,"[[57, 0], [54, 0]]",clip_p05_p95
real-only,62,0.6126126126126126,0.6086744639376218,0.6021505376344085,"[[43, 14], [29, 25]]",clip_p05_p95
synthetic-only-all,151,0.6936936936936937,0.6881091617933723,0.6773255813953488,"[[51, 6], [28, 26]]",clip_p05_p95
real+synthetic-all,213,0.5945945945945946,0.5940545808966862,0.5940674522551808,"[[35, 22], [23, 31]]",clip_p05_p95
majority,62,0.5135135135135135,0.5,0.3392857142857143,"[[57, 0], [54, 0]]",global_series_zscore
real-only,62,0.6126126126126126,0.6086744639376218,0.6021505376344085,"[[43, 14], [29, 25]]",global_series_zscore
synthetic-only-all,123,0.2072072072072072,0.21101364522417154,0.19246031746031744,"[[4, 53], [35, 19]]",global_series_zscore
real+synthetic-all,185,0.27927927927927926,0.27923976608187134,0.2792207792207792,"[[16, 41], [39, 15]]",global_series_zscore
